rutaImagen,etiqueta,estado,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\1.jpg,jeans,exito,0.3183098861837906,0.2887460755609589,0.024778640615341914,0.0853686379377599,0.11290523370106026,0.1328269022468513,0.00193218909488372,0.11455991980620571,0.03429634819431618,0.1089983973900505,0.14933088875480358,0.10876503278282745,0.03956444429286822,0.10714462278780824,0.08704851185469667,0.06178114618296916,0.12525762222393216,0.1508385321494262,0.18681270878693673,0.1229421282290148,0.17875595444521303,0.029784315974949342,0.23921879977116645,0.09146580389343144,0.12510187304047876
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\10.jpg,jeans,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\100.jpg,jeans,exito,0.3183098861837905,0.04217848237395816,0.06350309734288422,0.05960915566423888,0.04287402376599445,0.06035492281949215,0.06181151233536126,0.054485449738785746,0.05465222304529904,0.06672745022149056,0.03300258740164734,0.11285780822088941,0.05141156464140119,0.06891040637469087,0.03098334410040346,0.09966015064416148,0.08977026179681317,0.05863271963466677,0.1212677514709911,0.1467945095972853,0.07358103974941511,0.08788451325912128,0.017789513239368445,0.08784536722811849,0.03878636605422939
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\101.jpg,jeans,exito,0.3183098861837907,0.24812704581646877,0.07094555783870983,0.07311494453862462,0.10236222220407355,0.13596892892293397,0.061357871714507316,0.061050487739203955,0.028114157409375333,0.10448424874767274,0.046551786480355385,0.018679252290771674,0.09418542700187342,0.128646403823168,0.18279842589241424,0.05795528958179564,0.09883521953499243,0.22369471639709898,0.10035205228941159,0.04501664358662996,0.17489150616935764,0.19187650063724043,0.22271430963662717,0.12363799828751058,0.16908717992402303
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\102.jpg,jeans,exito,0.3183098861837906,0.01967595648225115,0.015498617354492289,0.007853548711207175,0.04968739194573951,0.08436405459457447,0.044344490399376546,0.025136236486287128,0.06047518492785325,0.08944381566746469,0.1160443332536835,0.08189963766973735,0.0888256561289511,0.11867207034794823,0.07898497079823705,0.05791351685249719,0.10962733154625612,0.09071463464227164,0.07152220043561708,0.05735650175272473,0.11625868915757552,0.22715635038181745,0.06995116933519281,0.15346292413409532,0.06008557475985739
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\103.jpg,jeans,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\104.jpg,jeans,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\105.jpg,jeans,exito,0.3183098861837906,0.05015123492111959,0.002649511164852504,0.06319286423578542,0.10365983162136085,0.06376277152301979,0.04862028257768276,0.08909249293516511,0.009539001456829252,0.14650455928758668,0.1251845129965162,0.040254495914665185,0.1592448758285655,0.08982276778910962,0.04843781888020563,0.09389808696574103,0.1348152090106392,0.1714642329376934,0.05737934123904075,0.1520637787615655,0.29658681589468056,0.08363779383850893,0.13603372587794327,0.20213888270325595,0.11495360544671229
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\106.jpg,jeans,exito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\107.jpg,jeans,exito,0.3183098861837906,0.03736848744724299,0.006953185462046693,0.0035879661425038865,0.08402409837419766,0.008808269609913832,0.00203701459526105,0.013258208027836992,0.011459366237747624,0.12491884387080447,0.036831447983505065,0.15878022271929165,0.015324936910097408,0.02330992475530314,0.038516350039531654,0.15455352290207727,0.09502121842774476,0.03393686248402878,0.15675086726389592,0.0817667473419347,0.019425305283045532,0.02077087992273531,0.06713159938451074,0.15868695526257334,0.07572816595054997
