rutaImagen,etiqueta,estado,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000000.jpg,pliers,exito,2.5098936702503196,6.641620484523025,7.527014005921298,8.410831237022526,-9.999999896209104,9.998866444981118,9.999999860468709
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000001.jpg,pliers,exito,2.664432093424993,5.670383048396558,9.401389638192875,9.313465323457006,9.999999999432829,9.997623469017748,-9.999999999994992
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000002.jpg,pliers,exito,2.752613151639254,5.770117322939897,8.981045448033122,9.99496491554881,-9.999999999999838,-9.999997856510966,-9.999999999999956
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000003.jpg,pliers,exito,2.7865531466498137,6.580454233207521,9.560052955368567,9.6750255108468,-9.99999999994284,-9.99983589048753,-9.999999999963968
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000004.jpg,pliers,exito,2.7517971169429356,6.036626885387851,8.638699309809764,9.92119201758513,-9.99999999999551,9.99999461670989,-9.999999999982498
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000005.jpg,pliers,exito,2.65299059456376,5.392842713165718,9.06955707105278,8.925810786940222,9.999999995736193,9.99061680580288,9.999999999966256
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000006.jpg,pliers,exito,2.6644335071025127,5.477362864457168,9.489875692169395,9.86357158293524,-9.999999999988185,9.999719222596537,-9.999999999991484
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000007.jpg,pliers,exito,2.7217092013731903,7.603997648975373,8.329627103192234,9.130686875602295,-9.999999995637603,-9.999716020783913,-9.999999998093147
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000008.jpg,pliers,exito,2.9587013298617117,7.481086949378794,9.95525544623632,9.968745653948083,-9.999999999999794,-9.999997246885535,-9.999999999999792
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000009.jpg,pliers,exito,2.636358418768481,7.444332531216508,7.957405938528156,8.903853830063353,-9.999999987456368,9.99940509992056,9.999999987573824
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000010.jpg,pliers,exito,2.7969773589941593,6.50715856502186,9.672614712121769,9.97834405414705,9.999999999999469,9.999999254984909,-9.999999999999972
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000011.jpg,pliers,exito,2.848983252879456,6.529870190667646,9.58605521582978,9.951896445928522,-9.999999999998948,-9.999974363259337,9.999999999998069
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000012.jpg,pliers,exito,2.6425447777969575,5.3477556131673705,8.808878225016173,8.987454682363385,9.999999995310546,9.99153186143144,9.999999999971937
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000013.jpg,pliers,exito,2.6578008713915744,5.417856424713195,9.90788598195923,9.840994815775213,-9.99999999999408,9.999626886123567,-9.999999999998138
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000014.jpg,pliers,exito,2.7903148298266442,5.719352147646367,9.323614603443565,9.541043949244933,9.999999999784034,9.998891566409519,-9.99999999999013
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000015.jpg,pliers,exito,2.7835581115627837,6.095223020582744,8.935241440441605,9.338292794254839,9.999999999449638,9.99877363031319,-9.999999999211346
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000016.jpg,pliers,exito,2.925045900004172,8.692454692515046,9.70820261904211,9.483776893852987,9.999999999916405,9.999963219890104,-9.99999999987958
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000017.jpg,pliers,exito,2.7191034673348335,7.005691114984183,9.327051148397542,9.99341790177867,9.999999999999856,9.999998584099465,-9.999999999999936
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000018.jpg,pliers,exito,2.7744529401716487,6.5567019565163704,8.770530306600302,9.402374014175429,-9.999999999169152,9.999323761814967,9.999999999700062
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000019.jpg,pliers,exito,2.599203113639506,7.203072241972167,7.848233444591118,8.916830036586257,9.999999995329041,9.999952234200656,-9.999999981493055
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000020.jpg,pliers,exito,2.884220229116929,5.979163962298387,9.448181392058494,9.53408474214376,9.99999999981456,9.999152073767375,-9.999999999995554
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000021.jpg,pliers,exito,2.9940782109422996,6.282740585633609,9.988701512430346,9.99690252757564,9.999999999999996,9.999997978135312,9.999999999999998
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000022.jpg,pliers,exito,2.5887046613042433,5.288732749885677,9.186094160970578,8.835750819192707,9.999999994890823,9.986812019308424,-9.999999999797025
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000023.jpg,pliers,exito,2.4449589671673277,5.953918570728652,8.471796788776215,9.52384731580041,9.999999999689342,9.999145092636802,-9.999999999373394
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000024.jpg,pliers,exito,2.861866854696518,7.497237179558513,9.512926285894766,9.955789974737703,-9.999999999998698,9.999993037929057,9.999999999998238
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000025.jpg,pliers,exito,2.8972431287579794,8.349336041846533,9.605164886041083,9.97412073531077,9.999999999999432,9.999998541691285,9.99999999999943
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000026.jpg,pliers,exito,2.838938176443002,5.800371257506416,9.616522953401063,9.68307210262412,9.99999999994245,9.999414099639342,-9.999999999997382
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000027.jpg,pliers,exito,2.528131896788813,7.624278037852504,7.888946633902393,9.702533706719013,-9.999999999658428,-9.999961363379017,9.99999999966332
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000028.jpg,pliers,exito,2.6181425276603303,5.766343378567295,8.797656458428003,9.02596264476102,-9.999999996376806,9.995259850103421,-9.99999999808014
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000029.jpg,pliers,exito,2.6028175095313326,5.326367899633839,8.718890824725381,8.690891446003155,9.999999984253979,9.982888481568189,-9.999999999347482
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000030.jpg,pliers,exito,2.6738907093536723,5.449814040638656,9.624401710985774,9.99383434788852,9.999999999999966,9.999992623542182,9.99999999999992
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000031.jpg,pliers,exito,2.7183818974237717,6.585212623706094,8.402461502971956,9.606826811816271,9.999999999598428,9.999790757526842,-9.999999999733168
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000032.jpg,pliers,exito,2.934635528502117,6.284102520024999,9.26744775998976,9.930439421674597,-9.999999999996689,-9.999975737502243,9.999999999994294
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000033.jpg,pliers,exito,2.6881477608582927,6.705754138518205,8.329091204416398,8.891704795922998,-9.999999988184657,9.99772729595951,9.999999998073424
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000034.jpg,pliers,exito,2.6826344896158525,5.507852631647539,8.969633887481715,9.607244825066141,9.99999999975856,9.998876230227037,9.999999999997428
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000035.jpg,pliers,exito,3.0171335496262763,7.452424765688734,9.889273672767688,9.995196507111384,-9.999999999999973,-9.9999995620144,9.999999999999993
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000036.jpg,pliers,exito,2.6091834585144467,6.228193544339575,7.915606675961697,8.998971067476148,9.999999993622518,9.997449373468852,9.999999988763662
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000037.jpg,pliers,exito,2.7214643995409125,5.573174545411912,9.676202248282365,9.999971391232677,10.0,9.999999986141948,10.0
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000038.jpg,pliers,exito,2.7117020072796785,5.554318597887069,9.675397438709382,9.994519534815923,-9.999999999999938,9.999990975148009,-9.999999999999979
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000039.jpg,pliers,exito,2.7363282082098372,6.725522228810876,9.141370761027392,9.43817888390803,9.999999999538609,9.999798055547162,-9.999999999932804
